oscreader@OSC:project_2_part_2$ ps -eLf
UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       944     1   944  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   950  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   951  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   954  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       955   944   955  0    1 13:23 tty7     00:00:06 /usr/bin/Xorg :0 -novtswitch -background none -noreset -ve
root      1005     1  1005  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
root      1005     1  1006  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
root      1005     1  1007  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
colord    1014     1  1014  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
colord    1014     1  1018  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
colord    1014     1  1019  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
rtkit     1025     1  1025  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1025     1  1026  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1025     1  1027  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1057     1  1057  0    1 13:23 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1058     1  1058  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1058     1  1059  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1058     1  1061  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1074   944  1074  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1074   944  1075  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1074   944  1077  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
oscread+  1079     1  1079  0    1 13:25 ?        00:00:00 /lib/systemd/systemd --user
oscread+  1080  1079  1080  0    1 13:25 ?        00:00:00 (sd-pam)
oscread+  1084     1  1084  0    5 13:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1084     1  1085  0    5 13:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1084     1  1218  0    5 13:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1084     1  1219  0    5 13:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1084     1  1221  0    5 13:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1087  1074  1087  0    4 13:25 ?        00:00:00 x-session-manager
oscread+  1087  1074  1200  0    4 13:25 ?        00:00:00 x-session-manager
oscread+  1087  1074  1203  0    4 13:25 ?        00:00:00 x-session-manager
oscread+  1087  1074  1205  0    4 13:25 ?        00:00:00 x-session-manager
oscread+  1135     1  1135  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --checkhostversion
oscread+  1140     1  1140  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --display
oscread+  1145     1  1145  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --seamless
oscread+  1153     1  1153  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
oscread+  1173  1087  1173  0    1 13:25 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-sessio
oscread+  1176     1  1176  0    1 13:25 ?        00:00:00 dbus-launch --autolaunch=982e471ca2a94825b7d1fd0a90dcba3d
oscread+  1180     1  1180  0    1 13:25 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session x-session-manager
oscread+  1184     1  1184  0    1 13:25 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address
oscread+  1186     1  1186  0    1 13:25 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address
oscread+  1194     1  1194  0    4 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1194     1  1195  0    4 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1194     1  1197  0    4 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1194     1  1199  0    4 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1198  1194  1198  0    1 13:25 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibil
oscread+  1202     1  1202  0    2 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-sessio
oscread+  1202     1  1206  0    2 13:25 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-sessio
