This is the output of the `ps -el` command after inserting the simple.ko kernel
module.

root@OSC:/home/oscreader/Desktop/linux_osc9e_src/ch3/programming_projects/project_2_part_1# ps -el
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  1061     1  0  80   0 - 17448 poll_s ?        00:00:00 packagekitd
4 S     0  1072   943  0  80   0 -  7413 poll_s ?        00:00:00 gdm-session-wor
4 S  1000  1076     1  0  80   0 -  1213 ep_pol ?        00:00:00 systemd
5 S  1000  1077  1076  0  80   0 -  1596 sigtim ?        00:00:00 (sd-pam)
1 S  1000  1081     1  0  80   0 - 11671 poll_s ?        00:00:00 gnome-keyring-d
4 S  1000  1084  1072  0  80   0 - 21398 poll_s ?        00:00:00 x-session-manag
1 S  1000  1127     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
1 S  1000  1132     1  0  80   0 -  3800 wait   ?        00:00:00 VBoxClient
1 S  1000  1140     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
1 S  1000  1145     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
1 S  1000  1150     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
1 S  1000  1160     1  0  80   0 -   995 poll_s ?        00:00:00 dbus-launch
1 S  1000  1165     1  0  80   0 -  1313 ep_pol ?        00:00:00 dbus-daemon
1 S  1000  1174  1084  0  80   0 -  1110 poll_s ?        00:00:00 ssh-agent
1 S  1000  1177     1  0  80   0 -   995 poll_s ?        00:00:00 dbus-launch
1 S  1000  1179     1  0  80   0 -  1427 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1185     1  0  80   0 - 10820 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1189  1185  0  80   0 -  1313 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1193     1  0  80   0 -  4564 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1205  1084  0  80   0 - 45934 poll_s ?        00:00:03 gnome-settings-
1 S  1000  1220     1  0  69 -11 - 25102 poll_s ?        00:00:00 pulseaudio
0 S  1000  1222     1  0  80   0 -  7853 poll_s ?        00:00:00 gvfsd
0 S  1000  1227     1  0  80   0 - 11415 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000  1240     1  0  80   0 - 10205 poll_s ?        00:00:00 gvfs-udisks2-vo
1 S  1000  1241     1  0  80   0 -   569 wait   ?        00:00:00 start-pulseaudi
0 S  1000  1242  1241  0  80   0 -  1577 poll_s ?        00:00:00 xprop
4 S     0  1244     1  0  80   0 - 13099 poll_s ?        00:00:00 udisksd
0 S  1000  1253     1  0  80   0 -  7621 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1256     1  0  80   0 - 37518 poll_s ?        00:00:00 goa-daemon
0 S  1000  1265     1  0  80   0 - 10655 poll_s ?        00:00:00 mission-control
0 S  1000  1266     1  0  80   0 -  7768 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1270     1  0  80   0 -  7552 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1276     1  0  80   0 - 10507 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000  1281  1084  0  80   0 - 104771 poll_s ?       00:00:38 gnome-shell
0 S  1000  1286     1  0  80   0 - 14147 poll_s ?        00:00:00 gsd-printer
0 S  1000  1298     1  0  80   0 - 23067 poll_s ?        00:00:00 gnome-shell-cal
0 S  1000  1302     1  0  80   0 - 30375 poll_s ?        00:00:00 evolution-sourc
0 S  1000  1315  1084  0  80   0 - 41244 poll_s ?        00:00:00 evolution-alarm
0 S  1000  1316  1084  0  80   0 - 18247 poll_s ?        00:00:00 nm-applet
0 S  1000  1318  1084  0  99   - - 10844 poll_s ?        00:00:00 tracker-miner-u
1 S  1000  1325     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
1 S  1000  1338     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
0 S  1000  1342  1084  0  80   0 - 30034 poll_s ?        00:00:06 nautilus
1 S  1000  1348     1  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
0 S  1000  1351     1  0  80   0 - 22369 poll_s ?        00:00:01 tracker-store
0 S  1000  1368  1084  0  99  19 - 41127 poll_s ?        00:00:01 tracker-extract
0 S  1000  1376     1  0  80   0 - 44338 poll_s ?        00:00:00 evolution-calen
0 S  1000  1377  1084  0  80   0 - 16400 poll_s ?        00:00:00 zeitgeist-datah
0 S  1000  1378  1084  0  99  19 - 26771 poll_s ?        00:00:05 tracker-miner-f
0 S  1000  1379  1084  0  99   - - 12953 poll_s ?        00:00:00 tracker-miner-a
0 S  1000  1383  1084  0  80   0 -  9677 poll_s ?        00:00:00 applet.py
0 S  1000  1385     1  0  80   0 - 10794 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  1395     1  0  80   0 -  2319 poll_s ?        00:00:00 gconfd-2
0 S  1000  1403     1  0  80   0 - 14275 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  1422  1403  0  80   0 -   977 unix_s ?        00:00:00 cat
0 S  1000  1436     1  0  80   0 - 16144 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1470     1  0  80   0 -  5268 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1473     1  0  80   0 -  9904 poll_s ?        00:00:00 gvfsd-burn
4 S     0  2587     1  0  80   0 -  2982 ep_pol ?        00:00:00 cupsd
4 S     0  3807   474  0  80   0 -  2216 poll_s ?        00:00:00 sshd
4 S     0  3876   474  0  80   0 -  2216 poll_s ?        00:00:00 sshd
5 S  1000  3893  3876  0  80   0 -  2250 poll_s ?        00:00:00 sshd
0 S  1000  3894  3893  0  80   0 -  1712 wait   pts/0    00:00:00 bash
5 S  1000  3906  3807  0  80   0 -  2249 poll_s ?        00:00:00 sshd
0 S  1000  3907  3906  0  80   0 -   621 poll_s ?        00:00:00 sftp-server
4 S     0  6198   474  0  80   0 -  2216 poll_s ?        00:00:00 sshd
5 S  1000  6205  6198  0  80   0 -  2250 poll_s ?        00:00:01 sshd
0 S  1000  6206  6205  0  80   0 -  1713 wait   pts/1    00:00:00 bash
4 S     0 11045  3894  0  80   0 -  1457 wait   pts/0    00:00:00 su
4 S     0 11059 11045  0  80   0 -  1683 wait   pts/0    00:00:00 bash
1 S     0 21708     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 S     0 22740     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
1 S  1000 23582  1132  0  80   0 -  3800 hrtime ?        00:00:00 VBoxClient
4 R     0 23642 11059  0  80   0 -  1135 -      pts/0    00:00:00 ps
4 S     0 28856  6206  0  80   0 -  1457 wait   pts/1    00:00:00 su
4 S     0 28865 28856  0  80   0 -  1681 n_tty_ pts/1    00:00:00 bash
